"start","stop","path","selection_rate","non_ordered_ratio","ordered_ratio","non_ordered_ratio_median","non_ordered_ratio_mean","ordered_ratio_mean","ordered_ratio_median","ordered_max","non_ordered_max","ordered_min","non_ordered_min"
"Midnight_Wire","Music_of_Germany","21947627,12653094,244795","0.2","0.3159685732872942","0.15435239122387548","0.31646899864885153","0.316971425711855","0.11244059211297816","0.10654087391976871","0.15435239122387548","0.3286293349346945","0.10605800819141756","0.31496772256417954"
"Midnight_Wire","Music_of_Germany","21947627,53207,412719,244795","0.2","0.3160686583596057","0.10633400400566372","0.31646899864885153","0.316971425711855","0.11244059211297816","0.10654087391976871","0.15435239122387548","0.3286293349346945","0.10605800819141756","0.31496772256417954"
"Gerd_Andres","Voting","5464178,55959,37559,99860","0.0","0.2227544491451348","0.04435123086486055","0.4454389706653613","0.2229525774157081","0.04441601922353344","0.0887024617297211","0.04461758300607136","0.2238033635187581","0.04424325026707238","0.22219502814586903"
"Gerd_Andres","Voting","5464178,55959,7959,99860","0.6","0.22373343589384986","0.04461758300607136","0.4454389706653613","0.2229525774157081","0.04441601922353344","0.0887024617297211","0.04461758300607136","0.2238033635187581","0.04424325026707238","0.22219502814586903"
"Gerd_Andres","Voting","5464178,55959,29066482,99860","0.2","0.22268452152022655","0.04435123086486055","0.4454389706653613","0.2229525774157081","0.04441601922353344","0.0887024617297211","0.04461758300607136","0.2238033635187581","0.04424325026707238","0.22219502814586903"
"Gerd_Andres","Voting","5464178,55959,14507041,99860","0.2","0.22219502814586903","0.04424325026707238","0.4454389706653613","0.2229525774157081","0.04441601922353344","0.0887024617297211","0.04461758300607136","0.2238033635187581","0.04424325026707238","0.22219502814586903"
"Gerd_Andres","Voting","5464178,55959,382165,99860","0.0","0.2238033635187581","0.044603185593032946","0.4454389706653613","0.2229525774157081","0.04441601922353344","0.0887024617297211","0.04461758300607136","0.2238033635187581","0.04424325026707238","0.22219502814586903"
"Trifolium_eriocephalum","Subgenus","29508718,19828134,40333,185907","0.0","0.3625880135277485","0.13837932357006957","0.353440150801131","0.35435826356932965","0.1355941480206383","0.13412071303427708","0.16057133292996195","0.3625880135277485","0.13359951855357396","0.35244220214004546"
"Trifolium_eriocephalum","Subgenus","29508718,62884,23410163,185907","0.0","0.35283029328602317","0.13396869797740535","0.353440150801131","0.35435826356932965","0.1355941480206383","0.13412071303427708","0.16057133292996195","0.3625880135277485","0.13359951855357396","0.35244220214004546"
"Trifolium_eriocephalum","Subgenus","29508718,23410163,9668061,185907","0.2","0.35260852691689304","0.13359951855357396","0.353440150801131","0.35435826356932965","0.1355941480206383","0.13412071303427708","0.16057133292996195","0.3625880135277485","0.13359951855357396","0.35244220214004546"
"Trifolium_eriocephalum","Subgenus","29508718,23410163,185907","0.6","0.35260852691689304","0.16057133292996195","0.353440150801131","0.35435826356932965","0.1355941480206383","0.13412071303427708","0.16057133292996195","0.3625880135277485","0.13359951855357396","0.35244220214004546"
"Trifolium_eriocephalum","Subgenus","29508718,39736,38493,185907","0.2","0.35366191717026113","0.13427327885754856","0.353440150801131","0.35435826356932965","0.1355941480206383","0.13412071303427708","0.16057133292996195","0.3625880135277485","0.13359951855357396","0.35244220214004546"
"Dancing_on_the_Ceiling_(song)","Noise_gate","12576731,170490,153557,1039345","0.0","0.358803528763095","0.1348686297003922","0.5868406542914906","0.3125957238252772","0.11082101536480567","0.20545945214502304","0.1348686297003922","0.358803528763095","0.10066606338958187","0.29043374379709613"
"Dancing_on_the_Ceiling_(song)","Noise_gate","12576731,15613,9079,1039345","0.0","0.29420143356000733","0.10335312587940315","0.5868406542914906","0.3125957238252772","0.11082101536480567","0.20545945214502304","0.1348686297003922","0.358803528763095","0.10066606338958187","0.29043374379709613"
"Dancing_on_the_Ceiling_(song)","Noise_gate","12576731,15613,6325194,1039345","0.4","0.2926392207314832","0.10210632626561988","0.5868406542914906","0.3125957238252772","0.11082101536480567","0.20545945214502304","0.1348686297003922","0.358803528763095","0.10066606338958187","0.29043374379709613"
"Dancing_on_the_Ceiling_(song)","Noise_gate","12576731,170490,956410,1039345","0.4","0.34887888255835325","0.1231187826435688","0.5868406542914906","0.3125957238252772","0.11082101536480567","0.20545945214502304","0.1348686297003922","0.358803528763095","0.10066606338958187","0.29043374379709613"
"Dancing_on_the_Ceiling_(song)","Noise_gate","12576731,198778,156547,1039345","0.2","0.29043374379709613","0.10066606338958187","0.5868406542914906","0.3125957238252772","0.11082101536480567","0.20545945214502304","0.1348686297003922","0.358803528763095","0.10066606338958187","0.29043374379709613"
"Then_and_Now_(Grover_Washington,_Jr._album)","List_of_clarinetists","18344160,15613,72697,19511938","0.0","0.471078900587994","0.2113891724498183","0.43996991658690005","0.44720361000957204","0.21396558501467564","0.19744154424050087","0.27082520578754293","0.4725830712429919","0.19361199441580432","0.43798714617803913"
"Then_and_Now_(Grover_Washington,_Jr._album)","List_of_clarinetists","18344160,215016,13003340,19511938","0.0","0.43976480240667304","0.19590535536747075","0.43996991658690005","0.44720361000957204","0.21396558501467564","0.19744154424050087","0.27082520578754293","0.4725830712429919","0.19361199441580432","0.43798714617803913"
"Then_and_Now_(Grover_Washington,_Jr._album)","List_of_clarinetists","18344160,53207,15613,19511938","0.2","0.43996991658690005","0.19411171887308012","0.43996991658690005","0.44720361000957204","0.21396558501467564","0.19744154424050087","0.27082520578754293","0.4725830712429919","0.19361199441580432","0.43798714617803913"
"Then_and_Now_(Grover_Washington,_Jr._album)","List_of_clarinetists","18344160,743769,19511938","0.4","0.44311500068371396","0.27082520578754293","0.43996991658690005","0.44720361000957204","0.21396558501467564","0.19744154424050087","0.27082520578754293","0.4725830712429919","0.19361199441580432","0.43798714617803913"
"Then_and_Now_(Grover_Washington,_Jr._album)","List_of_clarinetists","18344160,15613,19511938","0.4","0.4388759742923561","0.2675959704244164","0.43996991658690005","0.44720361000957204","0.21396558501467564","0.19744154424050087","0.27082520578754293","0.4725830712429919","0.19361199441580432","0.43798714617803913"
"J._Melville_Broughton","Thomas_Lanier_Clingman","434416,516669,516539","0.4","0.24454969935167456","0.0699009512351848","0.2398468205179885","0.24266182941986628","0.07709461754024467","0.06978739186971633","0.25464630873418426","0.2705163089119554","0.06605025638793567","0.23541267761765594"
"J._Melville_Broughton","Thomas_Lanier_Clingman","434416,211748,516539","0.4","0.26349558265309553","0.07817013775702546","0.2398468205179885","0.24266182941986628","0.07709461754024467","0.06978739186971633","0.25464630873418426","0.2705163089119554","0.06605025638793567","0.23541267761765594"
"J._Melville_Broughton","Thomas_Lanier_Clingman","434416,516815,516539","0.2","0.23662198931774664","0.06605025638793567","0.2398468205179885","0.24266182941986628","0.07709461754024467","0.06978739186971633","0.25464630873418426","0.2705163089119554","0.06605025638793567","0.23541267761765594"
"J._Melville_Broughton","Thomas_Lanier_Clingman","434416,486603,516539","0.0","0.2705163089119554","0.07762298808704098","0.2398468205179885","0.24266182941986628","0.07709461754024467","0.06978739186971633","0.25464630873418426","0.2705163089119554","0.06605025638793567","0.23541267761765594"
"J._Melville_Broughton","Thomas_Lanier_Clingman","434416,265829,516539","0.0","0.24364271557660655","0.0688685933672896","0.2398468205179885","0.24266182941986628","0.07709461754024467","0.06978739186971633","0.25464630873418426","0.2705163089119554","0.06605025638793567","0.23541267761765594"
"Suwannee_point","Federal_republic","33615875,661510,32374,70201","0.0","0.393545578908096","0.21498614317779852","0.7814948389503793","0.39281494838950376","0.21449841517882517","0.4268843909061872","0.22344952975027216","0.4070389255067778","0.2108726027732658","0.3865190896654645"
"Suwannee_point","Federal_republic","33615875,1543485,3966054,70201","0.4","0.4070389255067778","0.22344952975027216","0.7814948389503793","0.39281494838950376","0.21449841517882517","0.4268843909061872","0.22344952975027216","0.4070389255067778","0.2108726027732658","0.3865190896654645"
